event_type,vmware_action,category,status,observed_state
AlarmAcknowledgedEvent,alarm_acknowledged,alarm,success,
AlarmCreatedEvent,alarm_changed,alarm,observed,
AlarmReconfiguredEvent,alarm_changed,alarm,observed,
AlarmRemovedEvent,alarm_changed,alarm,observed,
AlarmStatusChangedEvent,alarm_changed,alarm,observed,
BadUsernameSessionEvent,login_failed,authentication,failure,
DatastoreCreatedEvent,datastore_changed,storage,success,
DatastoreDestroyedEvent,datastore_changed,storage,success,
DatastoreRenamedEvent,datastore_changed,storage,success,
DrsVmMigratedEvent,migrated,migration,success,
DrsVmPoweredOnEvent,power_on,power,success,powered_on
EnteredMaintenanceModeEvent,maintenance_changed,infrastructure,success,
ExitMaintenanceModeEvent,maintenance_changed,infrastructure,success,
HostConnectedEvent,host_connection_changed,infrastructure,observed,
HostConnectionLostEvent,host_connection_changed,infrastructure,observed,
HostDisconnectedEvent,host_connection_changed,infrastructure,observed,
InvalidLogin,login_failed,authentication,failure,
PermissionAddedEvent,permission_changed,security,success,
PermissionRemovedEvent,permission_changed,security,success,
PermissionUpdatedEvent,permission_changed,security,success,
RoleAddedEvent,role_changed,security,success,
RoleRemovedEvent,role_changed,security,success,
RoleUpdatedEvent,role_changed,security,success,
TaskEvent,task,task,observed,
UserLoginSessionEvent,login,authentication,success,
UserLogoutSessionEvent,logout,authentication,success,
VmBeingHotMigratedEvent,migration_requested,migration,requested,
VmBeingMigratedEvent,migration_requested,migration,requested,
VmBeingRelocatedEvent,migration_requested,migration,requested,
VmClonedEvent,cloned,lifecycle,success,
VmCreatedEvent,created,lifecycle,success,
VmDasBeingResetEvent,ha_restart_requested,availability,requested,
VmDasResetFailedEvent,ha_restart_failed,availability,failure,
VmDasUpdateOkEvent,ha_updated,availability,success,
VmDeployedEvent,created,lifecycle,success,
VmFailedMigrateEvent,migration_failed,migration,failure,
VmFailedRelayoutEvent,migration_failed,migration,failure,
VmFailedToCreateEvent,create_failed,lifecycle,failure,
VmFailedToPowerOffEvent,power_failed,power,failure,
VmFailedToPowerOnEvent,power_failed,power,failure,
VmFailedToResetEvent,power_failed,power,failure,
VmFailedToSuspendEvent,power_failed,power,failure,
VmGuestRebootEvent,guest_reboot_requested,power,requested,
VmGuestShutdownEvent,guest_shutdown_requested,power,requested,
VmMigratedEvent,migrated,migration,success,
VmPowerOnEvent,power_on_requested,power,requested,
VmPoweredOffEvent,power_off,power,success,powered_off
VmPoweredOnEvent,power_on,power,success,powered_on
VmReconfiguredEvent,reconfigured,configuration,success,
VmRegisteredEvent,registered,lifecycle,success,
VmRelocatedEvent,relocated,migration,success,
VmRemovedEvent,deleted,lifecycle,success,removed
VmRenamedEvent,renamed,configuration,success,
VmResettingEvent,reset_requested,power,requested,
VmRevertedToSnapshotEvent,snapshot_reverted,snapshot,success,
VmSnapshotRemoveAllEvent,snapshot_deleted,snapshot,success,
VmSnapshotRemovedEvent,snapshot_deleted,snapshot,success,
VmSnapshotTakenEvent,snapshot_created,snapshot,success,
VmStartingEvent,power_on_requested,power,requested,
VmStoppingEvent,power_off_requested,power,requested,
VmSuspendedEvent,suspended,power,success,suspended
VmUnregisteredEvent,unregistered,lifecycle,success,unregistered
